nama_item,jenis_item,lokasi_penyimpanan,hari_sejak_pembelian,sisa_hari,label,cara_simpan
Pear Golden,Buah Iklim Sedang,Pendingin,0,22.1,Segar,Bungkus Pear Golden dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Jeruk Pontianak,Buah Sitrus,Suhu Ruang,5,2.4,Segera,Pastikan Jeruk Pontianak berada di area kering agar tidak cepat lembap dan busuk.
Cabai Merah Keriting,Cabai & Paprika,Suhu Ruang,8,2.5,Segera,Pastikan Cabai Merah Keriting berada di area kering agar tidak cepat lembap dan busuk.
Jeruk Siam,Buah Sitrus,Suhu Ruang,3,3.1,Segar,Simpan Jeruk Siam di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Jamur Kuping,Sayuran Hijau,Pendingin,6,1.7,Segera,Bungkus Jamur Kuping dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Jeruk Bali,Buah Sitrus,Suhu Ruang,9,2.9,Segera,Simpan Jeruk Bali di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Cabai Keriting Hijau,Cabai & Paprika,Suhu Ruang,2,7.3,Segar,Letakkan Cabai Keriting Hijau di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Pear Century,Buah Iklim Sedang,Pembeku,62,-2.4,Kedaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Pear Century tetap awet.
Cabai Gendot,Cabai & Paprika,Pendingin,10,9.9,Segar,Bungkus Cabai Gendot dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Jeruk Siam,Buah Sitrus,Suhu Ruang,8,-0.9,Kedaluwarsa,Simpan Jeruk Siam di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Pisang Ambon,Buah Tropis,Suhu Ruang,1,0.9,Segera,Simpan Pisang Ambon di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Kembang Kol,Sayuran Hijau,Pendingin,1,2.2,Segera,Bungkus Kembang Kol dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Paprika Kuning,Cabai & Paprika,Suhu Ruang,5,3.2,Segar,Pastikan Paprika Kuning berada di area kering agar tidak cepat lembap dan busuk.
Nanas Subang,Buah Tropis,Pendingin,12,1.7,Segera,Simpan Nanas Subang di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kiwi Gold,Buah Iklim Sedang,Suhu Ruang,3,6.2,Segar,Letakkan Kiwi Gold di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Seledri Lokal,Sayuran Hijau,Suhu Ruang,2,7.1,Segar,Letakkan Seledri Lokal di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Anggur Merah (Red Globe),Buah Iklim Sedang,Pendingin,17,-0.4,Kedaluwarsa,Gunakan wadah tertutup saat menyimpan Anggur Merah (Red Globe) di rak kulkas.
Jeruk Pontianak,Buah Sitrus,Suhu Ruang,5,3,Segera,Pastikan Jeruk Pontianak berada di area kering agar tidak cepat lembap dan busuk.
Jeruk Siam,Buah Sitrus,Pembeku,10,84.2,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Jeruk Siam tetap awet.
Cabai Keriting Hijau,Cabai & Paprika,Suhu Ruang,7,3,Segera,Pastikan Cabai Keriting Hijau berada di area kering agar tidak cepat lembap dan busuk.
Paprika Hijau,Cabai & Paprika,Pendingin,1,15.3,Segar,Gunakan wadah tertutup saat menyimpan Paprika Hijau di rak kulkas.
Jeruk Nipis,Buah Sitrus,Pendingin,35,-7.7,Kedaluwarsa,Bungkus Jeruk Nipis dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Lobak Putih,Sayuran Akar,Suhu Ruang,3,7.2,Segar,Simpan Lobak Putih di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Pisang Cavendish,Buah Tropis,Suhu Ruang,1,4.3,Segar,Simpan Pisang Cavendish di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Apel Malang (Manalagi),Buah Iklim Sedang,Pendingin,19,-0.7,Kedaluwarsa,Gunakan wadah tertutup saat menyimpan Apel Malang (Manalagi) di rak kulkas.
Cabai Gendot,Cabai & Paprika,Suhu Ruang,2,3.2,Segar,Letakkan Cabai Gendot di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Daun Ketumbar,Sayuran Hijau,Pendingin,11,3.5,Segar,Bungkus Daun Ketumbar dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Cabai Merah Keriting,Cabai & Paprika,Pembeku,46,40.3,Segar,Pastikan Cabai Merah Keriting sudah bersih dan kering sebelum dibekukan di freezer.
Kol Ungu,Sayuran Hijau,Pendingin,4,0.6,Segera,Bungkus Kol Ungu dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Salak Pondoh,Buah Tropis,Suhu Ruang,6,6.3,Segar,Simpan Salak Pondoh di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Salak Pondoh,Buah Tropis,Pembeku,55,-10,Kedaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Salak Pondoh tetap awet.
Bawang Putih Honan,Sayuran Akar,Suhu Ruang,4,9.9,Segar,Simpan Bawang Putih Honan di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Persik,Buah Iklim Sedang,Pendingin,2,14.7,Segar,Bungkus Persik dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Kol Ungu,Sayuran Hijau,Pembeku,8,22.7,Segar,Simpan Kol Ungu dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Paprika Kuning,Cabai & Paprika,Suhu Ruang,15,-2.6,Kedaluwarsa,Pastikan Paprika Kuning berada di area kering agar tidak cepat lembap dan busuk.
Stroberi Korea,Buah Beri,Pendingin,10,-1.7,Kedaluwarsa,Simpan Stroberi Korea di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Pisang Kepok,Buah Tropis,Pendingin,9,9.2,Segar,Simpan Pisang Kepok di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Anggur Merah (Red Globe),Buah Iklim Sedang,Pembeku,1,61.8,Segar,Simpan Anggur Merah (Red Globe) dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Cabai Rawit Hijau,Cabai & Paprika,Suhu Ruang,0,14.7,Segar,Pastikan Cabai Rawit Hijau berada di area kering agar tidak cepat lembap dan busuk.
Kemangi,Sayuran Hijau,Pendingin,15,-0.3,Kedaluwarsa,Bungkus Kemangi dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Jeruk Mandarin,Buah Sitrus,Pembeku,40,47.4,Segar,Pastikan Jeruk Mandarin sudah bersih dan kering sebelum dibekukan di freezer.
Anggur Hijau Muscat,Buah Iklim Sedang,Suhu Ruang,0,12.1,Segar,Simpan Anggur Hijau Muscat di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Lemon Impor,Buah Sitrus,Pendingin,33,-6.6,Kedaluwarsa,Gunakan wadah tertutup saat menyimpan Lemon Impor di rak kulkas.
Blueberry Impor,Buah Beri,Pembeku,81,-14.2,Kedaluwarsa,Pastikan Blueberry Impor sudah bersih dan kering sebelum dibekukan di freezer.
Pisang Ambon,Buah Tropis,Pendingin,5,7.7,Segar,Gunakan wadah tertutup saat menyimpan Pisang Ambon di rak kulkas.
Cabai Rawit Merah,Cabai & Paprika,Pembeku,52,35,Segar,Simpan Cabai Rawit Merah dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Pepaya California,Buah Tropis,Pendingin,18,-0.9,Kedaluwarsa,Gunakan wadah tertutup saat menyimpan Pepaya California di rak kulkas.
Apel Malang (Manalagi),Buah Iklim Sedang,Pendingin,34,-5.6,Kedaluwarsa,Bungkus Apel Malang (Manalagi) dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Pepaya California,Buah Tropis,Pendingin,5,7.2,Segar,Gunakan wadah tertutup saat menyimpan Pepaya California di rak kulkas.
Raspberry Merah,Buah Beri,Pembeku,79,-17.1,Kedaluwarsa,Simpan Raspberry Merah dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Cabai Gendot,Cabai & Paprika,Suhu Ruang,3,1.5,Segera,Pastikan Cabai Gendot berada di area kering agar tidak cepat lembap dan busuk.
Sawi Hijau,Sayuran Hijau,Pendingin,8,-0.6,Kedaluwarsa,Bungkus Sawi Hijau dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Anggur Merah (Red Globe),Buah Iklim Sedang,Pembeku,35,31.5,Segar,Simpan Anggur Merah (Red Globe) dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Semangka Kuning,Buah Tropis,Suhu Ruang,1,0.6,Segera,Simpan Semangka Kuning di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Sawi Sendok (Pakcoy),Sayuran Hijau,Suhu Ruang,2,1.3,Segera,Letakkan Sawi Sendok (Pakcoy) di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Bayam Hijau,Sayuran Hijau,Pendingin,1,5.2,Segar,Bungkus Bayam Hijau dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Pear Century,Buah Iklim Sedang,Suhu Ruang,0,14,Segar,Letakkan Pear Century di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Jeruk Mandarin,Buah Sitrus,Pembeku,83,6.8,Segar,Simpan Jeruk Mandarin dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Pepaya California,Buah Tropis,Suhu Ruang,0,3.4,Segar,Pastikan Pepaya California berada di area kering agar tidak cepat lembap dan busuk.
Cabai Keriting Hijau,Cabai & Paprika,Pendingin,9,17.2,Segar,Simpan Cabai Keriting Hijau di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Salak Pondoh,Buah Tropis,Suhu Ruang,1,4.8,Segar,Pastikan Salak Pondoh berada di area kering agar tidak cepat lembap dan busuk.
Sawi Sendok (Pakcoy),Sayuran Hijau,Pendingin,3,0.5,Segera,Bungkus Sawi Sendok (Pakcoy) dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Mulberry,Buah Beri,Pendingin,3,3,Segera,Simpan Mulberry di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kencur,Sayuran Akar,Pendingin,20,28,Segar,Simpan Kencur di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Bawang Putih Kating,Sayuran Akar,Suhu Ruang,10,5.6,Segar,Simpan Bawang Putih Kating di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Pisang Ambon,Buah Tropis,Pembeku,44,3.2,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Pisang Ambon tetap awet.
Jahe Merah,Sayuran Akar,Suhu Ruang,12,9.4,Segar,Simpan Jahe Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Blackberry,Buah Beri,Pendingin,0,1.4,Segera,Gunakan wadah tertutup saat menyimpan Blackberry di rak kulkas.
Anggur Merah (Red Globe),Buah Iklim Sedang,Suhu Ruang,14,-2.2,Kedaluwarsa,Pastikan Anggur Merah (Red Globe) berada di area kering agar tidak cepat lembap dan busuk.
Singkong Mentega,Sayuran Akar,Pembeku,13,79.9,Segar,Simpan Singkong Mentega dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Nipis,Buah Sitrus,Pendingin,10,22.6,Segar,Bungkus Jeruk Nipis dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Sawi Putih,Sayuran Hijau,Pendingin,8,5.1,Segar,Bungkus Sawi Putih dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Bawang Bombai Merah,Sayuran Akar,Pendingin,37,14,Segar,Gunakan wadah tertutup saat menyimpan Bawang Bombai Merah di rak kulkas.
Mangga Gedong Gincu,Buah Tropis,Pendingin,15,-2.4,Kedaluwarsa,Gunakan wadah tertutup saat menyimpan Mangga Gedong Gincu di rak kulkas.
Semangka Kuning,Buah Tropis,Suhu Ruang,3,1.2,Segera,Simpan Semangka Kuning di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Rambutan Binjai,Buah Tropis,Pendingin,17,-2.7,Kedaluwarsa,Gunakan wadah tertutup saat menyimpan Rambutan Binjai di rak kulkas.
Lengkuas Muda,Sayuran Akar,Pendingin,49,-1.4,Kedaluwarsa,Bungkus Lengkuas Muda dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Stroberi Korea,Buah Beri,Pembeku,30,25.5,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Stroberi Korea tetap awet.
Apel Fuji,Buah Iklim Sedang,Suhu Ruang,6,-0.7,Kedaluwarsa,Simpan Apel Fuji di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Manggis,Buah Tropis,Pembeku,3,47.7,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Manggis tetap awet.
Jeruk Nipis,Buah Sitrus,Pendingin,10,24.3,Segar,Gunakan wadah tertutup saat menyimpan Jeruk Nipis di rak kulkas.
Alpukat Aligator,Buah Tropis,Suhu Ruang,0,2,Segera,Letakkan Alpukat Aligator di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Kiwi Hijau,Buah Iklim Sedang,Suhu Ruang,13,0.9,Segera,Letakkan Kiwi Hijau di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Tomat Beef,Buah Tropis,Pembeku,6,44.4,Segar,Pastikan Tomat Beef sudah bersih dan kering sebelum dibekukan di freezer.
Semangka Merah Tanpa Biji,Buah Tropis,Pendingin,5,4.9,Segar,Gunakan wadah tertutup saat menyimpan Semangka Merah Tanpa Biji di rak kulkas.
Jeruk Baby,Buah Sitrus,Pembeku,79,13.3,Segar,Simpan Jeruk Baby dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Nanas Subang,Buah Tropis,Pendingin,1,18.9,Segar,Bungkus Nanas Subang dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Cabai Rawit Merah,Cabai & Paprika,Pembeku,43,50.1,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Cabai Rawit Merah tetap awet.
Kenikir,Sayuran Hijau,Pendingin,4,5.4,Segar,Bungkus Kenikir dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Cabai Hijau Besar,Cabai & Paprika,Suhu Ruang,5,2.6,Segera,Simpan Cabai Hijau Besar di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Mulberry,Buah Beri,Pendingin,2,8.6,Segar,Gunakan wadah tertutup saat menyimpan Mulberry di rak kulkas.
Jeruk Bali,Buah Sitrus,Suhu Ruang,14,-2,Kedaluwarsa,Simpan Jeruk Bali di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Kunyit Tua,Sayuran Akar,Pendingin,16,30.3,Segar,Gunakan wadah tertutup saat menyimpan Kunyit Tua di rak kulkas.
Selada Romaine,Sayuran Hijau,Pendingin,2,2.7,Segera,Bungkus Selada Romaine dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Arbei,Buah Beri,Pendingin,2,1.8,Segera,Bungkus Arbei dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Cabai Rawit Merah,Cabai & Paprika,Pendingin,9,17.7,Segar,Gunakan wadah tertutup saat menyimpan Cabai Rawit Merah di rak kulkas.
Raspberry Merah,Buah Beri,Pendingin,1,8.3,Segar,Gunakan wadah tertutup saat menyimpan Raspberry Merah di rak kulkas.
Paprika Hijau,Cabai & Paprika,Suhu Ruang,7,-0.2,Kedaluwarsa,Letakkan Paprika Hijau di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Paprika Hijau,Cabai & Paprika,Pembeku,85,8,Segar,Simpan Paprika Hijau dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Anggur Merah (Red Globe),Buah Iklim Sedang,Pembeku,63,-7.7,Kedaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Anggur Merah (Red Globe) tetap awet.
Pear Golden,Buah Iklim Sedang,Suhu Ruang,2,1.3,Segera,Simpan Pear Golden di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Lengkuas Muda,Sayuran Akar,Suhu Ruang,12,7.2,Segar,Simpan Lengkuas Muda di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Paprika Kuning,Cabai & Paprika,Pendingin,25,-4.5,Kedaluwarsa,Simpan Paprika Kuning di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Mangga Manalagi,Buah Tropis,Pendingin,4,14.1,Segar,Simpan Mangga Manalagi di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kunyit Tua,Sayuran Akar,Suhu Ruang,25,-3.6,Kedaluwarsa,Simpan Kunyit Tua di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Stroberi Korea,Buah Beri,Pendingin,1,0.6,Segera,Gunakan wadah tertutup saat menyimpan Stroberi Korea di rak kulkas.
Jamur Tiram,Sayuran Hijau,Suhu Ruang,0,1.9,Segera,Simpan Jamur Tiram di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Jeruk Keprok,Buah Sitrus,Pendingin,1,29,Segar,Gunakan wadah tertutup saat menyimpan Jeruk Keprok di rak kulkas.
Pisang Raja,Buah Tropis,Pembeku,24,18.4,Segar,Pastikan Pisang Raja sudah bersih dan kering sebelum dibekukan di freezer.
Cabai Rawit Hijau,Cabai & Paprika,Pendingin,4,21.6,Segar,Gunakan wadah tertutup saat menyimpan Cabai Rawit Hijau di rak kulkas.
Bayam Merah,Sayuran Hijau,Pembeku,39,-5.5,Kedaluwarsa,Pastikan Bayam Merah sudah bersih dan kering sebelum dibekukan di freezer.
Stroberi Korea,Buah Beri,Suhu Ruang,1,0.1,Segera,Pastikan Stroberi Korea berada di area kering agar tidak cepat lembap dan busuk.
Durian Montong,Buah Tropis,Suhu Ruang,6,2.2,Segera,Pastikan Durian Montong berada di area kering agar tidak cepat lembap dan busuk.
Kunyit Tua,Sayuran Akar,Suhu Ruang,8,10.3,Segar,Simpan Kunyit Tua di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Stroberi Lokal Ciwidey,Buah Beri,Pembeku,43,21.8,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Stroberi Lokal Ciwidey tetap awet.
Sawi Sendok (Pakcoy),Sayuran Hijau,Pendingin,4,9,Segar,Bungkus Sawi Sendok (Pakcoy) dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Alpukat Aligator,Buah Tropis,Suhu Ruang,3,1,Segera,Simpan Alpukat Aligator di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Cabai Keriting Hijau,Cabai & Paprika,Suhu Ruang,2,3.7,Segar,Simpan Cabai Keriting Hijau di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Bawang Putih Honan,Sayuran Akar,Suhu Ruang,11,2.3,Segera,Simpan Bawang Putih Honan di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Lemon Lokal,Buah Sitrus,Suhu Ruang,3,7.9,Segar,Pastikan Lemon Lokal berada di area kering agar tidak cepat lembap dan busuk.
Kol Putih,Sayuran Hijau,Pendingin,8,1.9,Segera,Bungkus Kol Putih dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Jamur Kuping,Sayuran Hijau,Pendingin,6,7.5,Segar,Bungkus Jamur Kuping dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Talas Bogor,Sayuran Akar,Suhu Ruang,13,-0.4,Kedaluwarsa,Simpan Talas Bogor di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Persik,Buah Iklim Sedang,Pembeku,56,7,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Persik tetap awet.
Cabai Merah Besar,Cabai & Paprika,Pendingin,2,18.4,Segar,Simpan Cabai Merah Besar di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Blueberry Impor,Buah Beri,Pendingin,11,-0.8,Kedaluwarsa,Simpan Blueberry Impor di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Stroberi Korea,Buah Beri,Pendingin,1,0.9,Segera,Bungkus Stroberi Korea dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Blueberry Impor,Buah Beri,Pendingin,1,2.7,Segera,Bungkus Blueberry Impor dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Mulberry,Buah Beri,Pembeku,19,37.5,Segar,Simpan Mulberry dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Apel Malang (Manalagi),Buah Iklim Sedang,Suhu Ruang,7,6.6,Segar,Pastikan Apel Malang (Manalagi) berada di area kering agar tidak cepat lembap dan busuk.
Melon Madu,Buah Tropis,Suhu Ruang,1,0.2,Segera,Pastikan Melon Madu berada di area kering agar tidak cepat lembap dan busuk.
Kunyit Tua,Sayuran Akar,Suhu Ruang,2,18.1,Segar,Simpan Kunyit Tua di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Bawang Bombai Putih,Sayuran Akar,Pendingin,5,40.1,Segar,Bungkus Bawang Bombai Putih dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Apel Malang (Manalagi),Buah Iklim Sedang,Pembeku,2,62.3,Segar,Simpan Apel Malang (Manalagi) dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Lobak Putih,Sayuran Akar,Suhu Ruang,7,14.3,Segar,Simpan Lobak Putih di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Bawang Bombai Putih,Sayuran Akar,Suhu Ruang,16,1.2,Segera,Simpan Bawang Bombai Putih di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Anggur Hitam,Buah Iklim Sedang,Suhu Ruang,5,-0.9,Kedaluwarsa,Pastikan Anggur Hitam berada di area kering agar tidak cepat lembap dan busuk.
Pear Xiang Li,Buah Iklim Sedang,Suhu Ruang,5,8.1,Segar,Letakkan Pear Xiang Li di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Cabai Merah Besar,Cabai & Paprika,Suhu Ruang,3,3.6,Segar,Pastikan Cabai Merah Besar berada di area kering agar tidak cepat lembap dan busuk.
Stroberi Lokal Ciwidey,Buah Beri,Pendingin,1,1.5,Segera,Simpan Stroberi Lokal Ciwidey di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Stroberi Lokal Ciwidey,Buah Beri,Pembeku,18,45.7,Segar,Pastikan Stroberi Lokal Ciwidey sudah bersih dan kering sebelum dibekukan di freezer.
Paprika Hijau,Cabai & Paprika,Pembeku,78,7.5,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Paprika Hijau tetap awet.
Durian Montong,Buah Tropis,Pembeku,37,15.8,Segar,Pastikan Durian Montong sudah bersih dan kering sebelum dibekukan di freezer.
Arbei,Buah Beri,Pendingin,1,1.9,Segera,Bungkus Arbei dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Pear Xiang Li,Buah Iklim Sedang,Pembeku,44,11.1,Segar,Simpan Pear Xiang Li dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Bit Merah,Sayuran Akar,Suhu Ruang,13,8.2,Segar,Simpan Bit Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Arbei,Buah Beri,Pembeku,13,46.1,Segar,Simpan Arbei dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Blackberry,Buah Beri,Suhu Ruang,6,0.8,Segera,Letakkan Blackberry di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Singkong Gajah,Sayuran Akar,Suhu Ruang,1,14.8,Segar,Simpan Singkong Gajah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Kunyit Tua,Sayuran Akar,Suhu Ruang,1,18.7,Segar,Simpan Kunyit Tua di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Sawi Putih,Sayuran Hijau,Suhu Ruang,3,2.7,Segera,Letakkan Sawi Putih di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Paprika Hijau,Cabai & Paprika,Pendingin,28,-2.7,Kedaluwarsa,Gunakan wadah tertutup saat menyimpan Paprika Hijau di rak kulkas.
Blueberry Impor,Buah Beri,Pembeku,68,-7.5,Kedaluwarsa,Simpan Blueberry Impor dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Apel Granny Smith,Buah Iklim Sedang,Suhu Ruang,3,0.8,Segera,Simpan Apel Granny Smith di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Mulberry,Buah Beri,Pembeku,47,8.9,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Mulberry tetap awet.
Arbei,Buah Beri,Pendingin,11,-1,Kedaluwarsa,Simpan Arbei di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Paprika Kuning,Cabai & Paprika,Pembeku,17,69.3,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Paprika Kuning tetap awet.
Jeruk Bali,Buah Sitrus,Pembeku,7,81.5,Segar,Pastikan Jeruk Bali sudah bersih dan kering sebelum dibekukan di freezer.
Kemangi,Sayuran Hijau,Pendingin,2,1.6,Segera,Bungkus Kemangi dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Stroberi Korea,Buah Beri,Pembeku,72,-15.8,Kedaluwarsa,Simpan Stroberi Korea dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Talas Bogor,Sayuran Akar,Suhu Ruang,4,5.5,Segar,Simpan Talas Bogor di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Cabai Gendot,Cabai & Paprika,Pembeku,52,41.4,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Cabai Gendot tetap awet.
Cabai Rawit Hijau,Cabai & Paprika,Suhu Ruang,6,0.1,Segera,Pastikan Cabai Rawit Hijau berada di area kering agar tidak cepat lembap dan busuk.
Jeruk Nipis,Buah Sitrus,Suhu Ruang,1,10.1,Segar,Pastikan Jeruk Nipis berada di area kering agar tidak cepat lembap dan busuk.
Cabai Gendot,Cabai & Paprika,Suhu Ruang,3,11.3,Segar,Letakkan Cabai Gendot di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Arbei,Buah Beri,Pendingin,7,2.9,Segera,Bungkus Arbei dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Kiwi Gold,Buah Iklim Sedang,Pendingin,32,-5,Kedaluwarsa,Gunakan wadah tertutup saat menyimpan Kiwi Gold di rak kulkas.
Blackberry,Buah Beri,Pendingin,1,10.4,Segar,Simpan Blackberry di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Pear Golden,Buah Iklim Sedang,Suhu Ruang,1,12.3,Segar,Pastikan Pear Golden berada di area kering agar tidak cepat lembap dan busuk.
Lemon Lokal,Buah Sitrus,Pendingin,39,-3.3,Kedaluwarsa,Bungkus Lemon Lokal dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Blueberry Impor,Buah Beri,Pendingin,1,0.7,Segera,Gunakan wadah tertutup saat menyimpan Blueberry Impor di rak kulkas.
Kiwi Hijau,Buah Iklim Sedang,Suhu Ruang,11,2.6,Segera,Pastikan Kiwi Hijau berada di area kering agar tidak cepat lembap dan busuk.
Rambutan Binjai,Buah Tropis,Suhu Ruang,6,6.5,Segar,Letakkan Rambutan Binjai di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Jeruk Mandarin,Buah Sitrus,Pembeku,40,45.7,Segar,Pastikan Jeruk Mandarin sudah bersih dan kering sebelum dibekukan di freezer.
Apel Malang (Manalagi),Buah Iklim Sedang,Suhu Ruang,2,5,Segar,Letakkan Apel Malang (Manalagi) di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Daun Pepaya,Sayuran Hijau,Suhu Ruang,1,0.9,Segera,Pastikan Daun Pepaya berada di area kering agar tidak cepat lembap dan busuk.
